product_id,title,price,thumbnail
168,Charger SXT RWD,32999.99,https://cdn.dummyjson.com/products/images/vehicle/Charger%20SXT%20RWD/thumbnail.png
78,Apple MacBook Pro 14 Inch Space Grey,1999.99,https://cdn.dummyjson.com/products/images/laptops/Apple%20MacBook%20Pro%2014%20Inch%20Space%20Grey/thumbnail.png
183,Green Oval Earring,24.99,https://cdn.dummyjson.com/products/images/womens-jewellery/Green%20Oval%20Earring/thumbnail.png
100,Apple Airpods,129.99,https://cdn.dummyjson.com/products/images/mobile-accessories/Apple%20Airpods/thumbnail.png
144,Cricket Helmet,44.99,https://cdn.dummyjson.com/products/images/sports-accessories/Cricket%20Helmet/thumbnail.png
124,iPhone X,899.99,https://cdn.dummyjson.com/products/images/smartphones/iPhone%20X/thumbnail.png
148,Golf Ball,9.99,https://cdn.dummyjson.com/products/images/sports-accessories/Golf%20Ball/thumbnail.png
122,iPhone 6,299.99,https://cdn.dummyjson.com/products/images/smartphones/iPhone%206/thumbnail.png
110,Selfie Lamp with iPhone,14.99,https://cdn.dummyjson.com/products/images/mobile-accessories/Selfie%20Lamp%20with%20iPhone/thumbnail.png
98,Rolex Submariner Watch,13999.99,https://cdn.dummyjson.com/products/images/mens-watches/Rolex%20Submariner%20Watch/thumbnail.png
125,Oppo A57,249.99,https://cdn.dummyjson.com/products/images/smartphones/Oppo%20A57/thumbnail.png
55,Egg Slicer,6.99,https://cdn.dummyjson.com/products/images/kitchen-accessories/Egg%20Slicer/thumbnail.png
62,Ice Cube Tray,5.99,https://cdn.dummyjson.com/products/images/kitchen-accessories/Ice%20Cube%20Tray/thumbnail.png
132,Samsung Galaxy S8,499.99,https://cdn.dummyjson.com/products/images/smartphones/Samsung%20Galaxy%20S8/thumbnail.png
187,Golden Shoes Woman,49.99,https://cdn.dummyjson.com/products/images/womens-shoes/Golden%20Shoes%20Woman/thumbnail.png
40,Strawberry,3.99,https://cdn.dummyjson.com/products/images/groceries/Strawberry/thumbnail.png
156,Green and Black Glasses,34.99,https://cdn.dummyjson.com/products/images/sunglasses/Green%20and%20Black%20Glasses/thumbnail.png
108,iPhone 12 Silicone Case with MagSafe Plum,29.99,https://cdn.dummyjson.com/products/images/mobile-accessories/iPhone%2012%20Silicone%20Case%20with%20MagSafe%20Plum/thumbnail.png
138,Baseball Ball,8.99,https://cdn.dummyjson.com/products/images/sports-accessories/Baseball%20Ball/thumbnail.png
157,Party Glasses,19.99,https://cdn.dummyjson.com/products/images/sunglasses/Party%20Glasses/thumbnail.png
8,Dior J'adore,89.99,https://cdn.dummyjson.com/products/images/fragrances/Dior%20J'adore/thumbnail.png
